time,P,G(i),H_sun,T2m,WS10m
20200125:2010,0,0,0,1.5,3.66
20200125:2110,0,0,0,1.47,3.59
20200125:2210,0,0,0,1.33,3.45
20200125:2310,0,0,0,1.28,3.38
20200126:0010,0,0,0,1.03,3.17
20200126:0110,0,0,0,0.95,2.97
20200126:0210,0,0,0,0.66,2.76
20200126:0310,0,0,0,0.47,2.55
20200126:0410,0,0,0,0.3,2.41
20200126:0510,0,0,0,0.24,2.28
20200126:0610,1.9,12,3.18,0.34,2.07
20200126:0710,36.07,87,10.37,1.03,1.86
20200126:0810,65.86,142,15.99,2.08,2.41
20200126:0910,107.77,222,19.6,2.57,2.34
20200126:1010,145.76,298.01,20.83,3.25,2.69
20200126:1110,108.97,225,19.55,3.51,2.97
20200126:1210,23.56,60,15.9,3.44,3.03
20200126:1310,19.07,51,10.24,3.47,2.9
