time,P,G(i),H_sun,T2m,WS10m
20210803:1010,308.69,665,57.07,23.87,2.28
20210803:1110,224.32,483,54.49,24.45,2.41
20210803:1210,280.09,601,48.5,24.67,2.55
20210803:1310,198.61,426,40.45,24.44,2.76
20210803:1410,162.38,351,31.35,24.34,2.9
20210803:1510,130.24,293,21.84,24.18,2.76
20210803:1610,59.23,159,12.38,23.73,2.28
20210803:1710,4.11,22.76,3.32,22.94,1.72
20210803:1810,0,0,0,21.66,1.93
20210803:1910,0,0,0,20.28,1.17
20210803:2010,0,0,0,18.97,1.52
20210803:2110,0,0,0,18.11,1.52
20210803:2210,0,0,0,17.82,1.45
20210803:2310,0,0,0,18.16,1.24
20210804:0010,0,0,0,19.06,0.9
20210804:0110,0,0,0,18.75,0.41
20210804:0210,0,0,0,18.52,0.07
20210804:0310,1.99,13,5.14,18.23,0.41
20210804:0410,70.36,173,14.33,18.31,0.55
20210804:0510,108.7,240,23.84,19.93,0.69
20210804:0610,243.03,520,33.29,21.69,1.24
20210804:0710,308.42,663.01,42.21,22.61,1.31
20210804:0810,353.46,769.01,49.87,23.86,1.52
20210804:0910,361.39,792.01,55.18,24.69,1.59
20210804:1010,311.21,681,56.81,25.35,1.59
20210804:1110,160.78,353,54.23,25.89,1.66
20210804:1210,264.96,577,48.27,26.3,1.79
20210804:1310,171.87,375,40.23,26.29,2.14
20210804:1410,134.69,297,31.14,26.2,2.41
20210804:1510,7.3,28,21.63,25.48,2.55
20210804:1610,31.49,84,12.17,24.99,2.41
20210804:1710,0.75,9,3.1,23.97,2.62
20210804:1810,0,0,0,22.96,2.55
20210804:1910,0,0,0,22.06,2
20210804:2010,0,0,0,21.3,2.14
20210804:2110,0,0,0,20.82,2.21
20210804:2210,0,0,0,20.63,2.21
20210804:2310,0,0,0,19.88,2.28
20210805:0010,0,0,0,19.71,2.34
20210805:0110,0,0,0,19.61,2.55
20210805:0210,0,0,0,19.25,2.41
20210805:0310,0,4,4.95,18.92,2.21
20210805:0410,5.57,23,14.15,19.34,2.14
20210805:0510,34.01,86,23.66,20.05,2.34
20210805:0610,151.43,324,33.1,21.18,2.34
20210805:0710,279.39,597,42.01,22.36,1.45
20210805:0810,269.64,579,49.65,23.28,1.72
20210805:0910,289.82,622,54.92,23.79,2.34
20210805:1010,321.22,690.01,56.54,24.47,2.83
20210805:1110,243.23,523,53.97,25.06,2.83
20210805:1210,267.81,577,48.02,25.81,2.62
20210805:1310,168.99,368,40.01,26.25,2.55
20210805:1410,136.88,302,30.92,26.68,2.62
20210805:1510,113.89,261,21.42,26.78,2.41
20210805:1610,38.3,102,11.95,26.24,1.72
20210805:1710,2.96,19.8,2.88,25.07,2.14
20210805:1810,0,0,0,23.96,2.41
20210805:1910,0,0,0,23.52,3.03
20210805:2010,0,0,0,23.3,3.52
20210805:2110,0,0,0,23.24,3.86
20210805:2210,0,0,0,23.1,3.79
20210805:2310,0,0,0,23.24,4.21
20210806:0010,0,0,0,23.17,4.55
20210806:0110,0,0,0,22.92,4.76
20210806:0210,0,0,0,22.7,4.62
20210806:0310,0,4,4.75,22.33,4.48
20210806:0410,4.72,21,13.96,22.43,4.21
20210806:0510,113.05,250,23.47,22.96,4.28
20210806:0610,168.83,359,32.91,23.58,5.79
20210806:0710,104.31,230,41.8,22.83,3.17
20210806:0810,127.56,277,49.42,23.55,4.69
20210806:0910,296.4,624,54.67,22.62,4
20210806:1010,363.25,768.01,56.27,22.21,3.45
20210806:1110,236.69,502,53.71,22.32,2.9
20210806:1210,56.03,132,47.78,22.31,2.97
20210806:1310,39.34,98,39.77,22.55,2.34
20210806:1410,67.27,155,30.7,22.58,2.9
20210806:1510,95.02,214,21.2,22.44,3.38
20210806:1610,23.53,65,11.73,22.12,2.83
20210806:1710,2.26,14,2.65,22.02,2.48
20210806:1810,0,0,0,21.5,2
20210806:1910,0,0,0,19.78,2.55
20210806:2010,0,0,0,19.61,2.41
20210806:2110,0,0,0,19.36,2.14
20210806:2210,0,0,0,19.13,2
20210806:2310,0,0,0,18.85,1.93
20210807:0010,0,0,0,18.48,1.93
20210807:0110,0,0,0,18.16,2.34
20210807:0210,0,0,0,17.74,2.55
20210807:0310,8.24,38.16,4.55,17.29,2.55
20210807:0410,70.94,177,13.77,17.41,2.69
20210807:0510,161.26,347,23.28,17.7,3.45
20210807:0610,247.75,513,32.72,18.28,3.38
20210807:0710,311.87,643.01,41.59,18.69,3.45
20210807:0810,364.85,759.01,49.19,20.03,3.72
20210807:0910,393.75,827.01,54.41,21.35,3.93
20210807:1010,371.64,786.01,55.99,22.5,3.72
20210807:1110,367.96,781.01,53.44,23.46,3.66
20210807:1210,148.43,320,47.52,23.59,3.93
20210807:1310,76.12,173,39.54,23.33,4.55
20210807:1410,118.72,258,30.47,22.65,4.62
20210807:1510,124.54,278,20.98,22.03,4.55
20210807:1610,51.78,140,11.5,21.47,4.07
20210807:1710,0.77,9,2.41,20.89,2.83
20210807:1810,0,0,0,20.21,2.07
20210807:1910,0,0,0,18.85,2.41
20210807:2010,0,0,0,18.01,1.93
20210807:2110,0,0,0,16.96,1.72
20210807:2210,0,0,0,15.91,1.52
20210807:2310,0,0,0,15.33,1.52
20210808:0010,0,0,0,14.7,1.59
20210808:0110,0,0,0,14.35,2
20210808:0210,0,0,0,14.2,2.07
20210808:0310,0.07,6,4.35,13.95,1.86
20210808:0410,71.34,177,13.57,15.03,1.24
20210808:0510,155.56,340,23.09,18.22,1.1
20210808:0610,238.79,507,32.52,19.89,1.24
20210808:0710,308.77,656.01,41.38,21.43,1.79
20210808:0810,352.88,758.01,48.95,22.76,2
20210808:0910,384.44,834.01,54.14,23.83,2.21
20210808:1010,389.72,849.01,55.71,24.69,2.34
20210808:1110,385.95,840.01,53.16,25.35,2.55
20210808:1210,340.85,736.01,47.27,25.78,2.69
20210808:1310,290.08,625.01,39.3,26.01,2.55
20210808:1410,217.39,473,30.24,25.99,2.41
20210808:1510,131.29,302,20.75,25.64,2.21
20210808:1610,50.92,142,11.27,24.84,1.52
20210808:1710,0.75,9,2.17,23.29,1.45
20210808:1810,0,0,0,21.06,1.45
20210808:1910,0,0,0,20.36,1.59
20210808:2010,0,0,0,19.92,1.45
20210808:2110,0,0,0,19.29,1.52
20210808:2210,0,0,0,18.92,1.52
20210808:2310,0,0,0,19.19,1.31
20210809:0010,0,0,0,19.88,0.97
20210809:0110,0,0,0,18.81,1.17
20210809:0210,0,0,0,16.43,1.66
20210809:0310,5.29,22,4.15,15.83,1.72
20210809:0410,70.97,180,13.38,17.05,1.31
20210809:0510,152.32,338,22.9,20.82,1.03
20210809:0610,232.54,501,32.33,23.01,1.31
20210809:0710,297.44,643.01,41.17,24.84,1.66
20210809:0810,343.63,749.01,48.71,26.11,2.07
20210809:0910,371.35,816.01,53.87,26.99,2.28
20210809:1010,373.93,826.01,55.43,27.78,2.28
20210809:1110,369.59,817.01,52.88,28.4,2.34
20210809:1210,326.17,715.01,47,28.85,2.55
20210809:1310,277.49,605.01,39.05,29.08,2.83
20210809:1410,208.36,459,30,28.94,2.83
20210809:1510,123.66,289,20.51,28.48,2.48
20210809:1610,46.84,133,11.03,27.45,1.93
20210809:1710,0.48,8,1.93,25.89,2.21
20210809:1810,0,0,0,24.56,2.55
20210809:1910,0,0,0,23.58,2.76
20210809:2010,0,0,0,22.79,3.17
20210809:2110,0,0,0,22.19,3.24
20210809:2210,0,0,0,21.65,3.17
20210809:2310,0,0,0,21.24,3.1
20210810:0010,0,0,0,20.75,3.03
20210810:0110,0,0,0,20.35,3.17
20210810:0210,0,0,0,19.92,3.38
20210810:0310,0,3,3.94,19.55,3.59
20210810:0410,53.72,134,13.18,19.8,3.66
20210810:0510,140.81,308,22.71,20.63,4.14
20210810:0610,227.01,477,32.13,21.8,4.07
20210810:0710,297.42,624.01,40.95,23.08,3.93
20210810:0810,345.07,731.01,48.47,24.41,3.93
20210810:0910,372.7,797.01,53.6,25.56,4
20210810:1010,369.61,794.01,55.14,26.44,4.07
20210810:1110,320.42,687.01,52.59,26.79,4.21
20210810:1210,303.17,648.01,46.73,26.91,4.28
20210810:1310,265.02,563,38.8,25.98,4.41
20210810:1410,207.96,448,29.76,25.67,4.14
20210810:1510,122.47,281,20.27,25.45,4.21
20210810:1610,36.2,99,10.79,25.07,3.52
20210810:1710,0,4,1.68,24.28,3.03
20210810:1810,0,0,0,23.25,2.76
20210810:1910,0,0,0,23.05,3.1
20210810:2010,0,0,0,22.58,3.24
20210810:2110,0,0,0,21.97,3.31
20210810:2210,0,0,0,21.53,3.24
20210810:2310,0,0,0,20.85,3.1
20210811:0010,0,0,0,20.31,3.03
20210811:0110,0,0,0,19.8,3.1
20210811:0210,0,0,0,19.36,3.17
20210811:0310,0,5,3.74,18.98,3.03
20210811:0410,63,161,12.99,19.24,2.9
20210811:0510,149.89,329,22.51,20.46,3.45
20210811:0610,234.46,494,31.92,22.01,3.79
20210811:0710,301.84,635.01,40.74,23.89,4.21
20210811:0810,350.59,744.01,48.23,25.23,4.34
20210811:0910,378.13,811.01,53.33,26.17,4.14
20210811:1010,382.81,826.01,54.84,26.87,4
20210811:1110,375.45,812.01,52.3,27.52,3.93
20210811:1210,329.3,709.01,46.46,27.93,4
20210811:1310,275.95,593.01,38.54,27.94,4.07
20210811:1410,168.44,369,29.51,27.73,3.79
20210811:1510,121.89,284,20.03,27.32,3.17
20210811:1610,43.76,126,10.54,26.5,2.48
20210811:1710,0,3,1.42,24.99,2.28
20210811:1810,0,0,0,23.68,2.76
20210811:1910,0,0,0,22.73,3.31
20210811:2010,0,0,0,22.1,3.38
20210811:2110,0,0,0,21.42,3.38
20210811:2210,0,0,0,20.77,3.31
20210811:2310,0,0,0,20.12,3.38
20210812:0010,0,0,0,19.51,3.66
20210812:0110,0,0,0,18.93,3.72
20210812:0210,0,0,0,18.49,3.66
20210812:0310,0,3,3.53,17.95,3.59
20210812:0410,66,170,12.79,18,3.45
20210812:0510,153.24,333,22.31,18.61,4.21
20210812:0610,240.67,500,31.72,19.6,4.34
20210812:0710,311.95,644.01,40.52,20.72,4.83
20210812:0810,356.09,740.01,47.98,21.81,4.97
20210812:0910,379.02,793.01,53.05,22.81,5.17
20210812:1010,390.16,820.01,54.54,23.57,5.24
20210812:1110,379.44,798.01,52.01,24.13,5.31
20210812:1210,301.01,633.01,46.18,24.37,5.1
20210812:1310,240.27,507,38.27,24.66,5.17
20210812:1410,189.34,405,29.26,24.27,5.03
20210812:1510,106.85,243,19.78,23.66,4.55
20210812:1610,43.52,124,10.29,23.02,3.93
20210812:1710,0,0,0,22.28,3.66
20210812:1810,0,0,0,21.35,3.45
20210812:1910,0,0,0,20.54,3.45
20210812:2010,0,0,0,19.64,3.17
20210812:2110,0,0,0,18.87,2.97
20210812:2210,0,0,0,18.17,2.76
20210812:2310,0,0,0,17.56,2.62
20210813:0010,0,0,0,17.01,2.62
20210813:0110,0,0,0,16.56,2.48
20210813:0210,0,0,0,16.09,2.34
20210813:0310,0,4,3.32,15.67,2.28
20210813:0410,65.42,169,12.59,16.17,2.21
20210813:0510,149.65,326,22.11,17.68,2.76
20210813:0610,235.91,493,31.51,19.13,2.97
20210813:0710,301.9,630.01,40.29,20.54,3.1
20210813:0810,351.98,739.01,47.73,21.94,3.66
20210813:0910,373.15,789.01,52.77,23.06,3.93
20210813:1010,357.05,758.01,54.24,23.91,4
20210813:1110,335.74,713.01,51.71,24.3,3.93
20210813:1210,217.55,464,45.9,24.51,3.72
20210813:1310,268.39,570,38.01,24.66,3.52
20210813:1410,196.9,425,29,24.44,3.1
20210813:1510,117.42,271,19.52,23.95,2.34
20210813:1610,42.08,123,10.03,23.48,1.59
20210813:1710,0,0,0,22.6,1.24
20210813:1810,0,0,0,21.43,1.17
20210813:1910,0,0,0,20.67,1.79
20210813:2010,0,0,0,20.07,2
20210813:2110,0,0,0,19.52,2.28
20210813:2210,0,0,0,18.78,2.41
20210813:2310,0,0,0,18.09,2.28
20210814:0010,0,0,0,17.19,2
20210814:0110,0,0,0,16.28,1.79
20210814:0210,0,0,0,15.55,1.52
20210814:0310,0,2,3.11,15.29,1.45
20210814:0410,58.18,149,12.38,16.3,0.97
20210814:0510,141.11,313,21.91,18.67,0.55
20210814:0610,222.41,479,31.31,20.63,0.41
20210814:0710,290.72,626.01,40.07,22.32,0.97
20210814:0810,336.16,735.01,47.47,23.71,0.97
20210814:0910,363.14,802.01,52.48,24.66,1.1
20210814:1010,367.19,816.01,53.93,25.28,1.03
20210814:1110,353.55,789.01,51.4,25.78,0.76
20210814:1210,313.28,695.01,45.61,26.13,0.62
20210814:1310,267.67,591.01,37.73,26.39,0.55
20210814:1410,196.28,438,28.74,26.41,0.28
20210814:1510,115.34,273,19.26,26.19,0.41
20210814:1610,38.76,115,9.77,25.67,0.97
20210814:1710,0,0,0,24.1,1.59
20210814:1810,0,0,0,22.13,1.86
20210814:1910,0,0,0,20.78,2.07
20210814:2010,0,0,0,19.67,2.07
20210814:2110,0,0,0,18.74,2
20210814:2210,0,0,0,17.94,2
20210814:2310,0,0,0,17.27,1.93
20210815:0010,0,0,0,16.77,1.93
20210815:0110,0,0,0,16.37,2
20210815:0210,0,0,0,16.07,2
20210815:0310,0,2,2.89,15.84,2.07
20210815:0410,57.79,150,12.18,16.71,1.72
20210815:0510,137.45,306,21.71,20.08,1.45
20210815:0610,220.44,474,31.1,22.61,1.52
20210815:0710,285.73,614.01,39.84,24.15,1.79
20210815:0810,331.58,718.01,47.22,25.74,2.28
20210815:0910,362.56,793.01,52.19,26.84,2.41
20210815:1010,366.17,806.01,53.62,27.66,2.34
20210815:1110,348.99,771.01,51.09,28.33,2.07
20210815:1210,311.07,686.01,45.31,28.8,1.86
20210815:1310,264.53,582.01,37.46,29.04,1.86
20210815:1410,192.89,430,28.47,29.04,1.86
20210815:1510,109.7,262,19,28.68,1.66
20210815:1610,36.38,110,9.5,27.6,1.24
20210815:1710,0,0,0,26.05,1.72
20210815:1810,0,0,0,24.39,1.93
20210815:1910,0,0,0,23.1,2.28
20210815:2010,0,0,0,22.32,2.21
20210815:2110,0,0,0,21.63,2.21
20210815:2210,0,0,0,21.16,2.14
20210815:2310,0,0,0,20.68,2.14
20210816:0010,0,0,0,20.25,2.07
20210816:0110,0,0,0,19.89,2
20210816:0210,0,0,0,19.41,1.86
20210816:0310,0,2,2.68,18.92,1.86
20210816:0410,46.19,119,11.98,19.39,1.59
20210816:0510,126.35,284,21.51,21.97,1.38
20210816:0610,208.22,451,30.88,24.04,1.52
20210816:0710,273.98,596.01,39.61,26.17,1.52
20210816:0810,324.68,710.01,46.96,27.84,2.28
20210816:0910,354.83,779.01,51.9,28.95,2.9
20210816:1010,354.22,780.01,53.31,29.7,3.03
20210816:1110,331.07,728.01,50.78,30.14,3.1
20210816:1210,283.89,622.01,45.02,30.36,3.17
20210816:1310,223.77,490,37.17,30.17,3.31
20210816:1410,182.69,406,28.2,30.01,3.38
20210816:1510,93.98,224,18.73,29.32,2.62
20210816:1610,29.47,87,9.23,28.16,2.21
20210816:1710,0,0,0,26.8,2.34
20210816:1810,0,0,0,25.76,2.55
20210816:1910,0,0,0,24.71,2.9
20210816:2010,0,0,0,24.06,2.97
20210816:2110,0,0,0,23.59,3.03
20210816:2210,0,0,0,23.34,3.17
20210816:2310,0,0,0,22.92,3.03
20210817:0010,0,0,0,22.46,2.83
20210817:0110,0,0,0,22.02,2.83
20210817:0210,0,0,0,21.69,2.9
20210817:0310,0,1,2.47,21.5,3.03
20210817:0410,44.67,117,11.77,21.79,3.1
20210817:0510,120.62,271,21.3,22.92,3.03
20210817:0610,204.26,438,30.67,24.79,3.79
20210817:0710,273.26,583.01,39.38,26.51,4
20210817:0810,323.83,695.01,46.7,28.24,4.55
20210817:0910,353.04,763.01,51.6,29.8,5.1
20210817:1010,240.8,525,52.99,30.92,5.52
20210817:1110,345.02,749.01,50.46,31.63,5.72
20210817:1210,306.58,665.01,44.71,31.97,5.79
20210817:1310,255.43,556.01,36.89,31.98,5.59
20210817:1410,189.23,421,27.92,31.71,5.31
20210817:1510,104.56,253,18.46,31.02,3.93
20210817:1610,28.36,86,8.96,29.9,3.72
20210817:1710,0,0,0,28.17,2.41
20210817:1810,0,0,0,26,1.72
20210817:1910,0,0,0,24.49,1.17
20210817:2010,0,0,0,23.24,1.79
20210817:2110,0,0,0,22.24,1.93
20210817:2210,0,0,0,21.85,2.21
20210817:2310,0,0,0,21.27,3.31
20210818:0010,0,0,0,20.54,3.45
20210818:0110,0,0,0,19.86,3.03
20210818:0210,0,0,0,19.26,3.17
20210818:0310,0,1,2.25,18.95,3.1
20210818:0410,1.99,13,11.56,18.8,2.97
20210818:0510,7.18,27,21.1,18.87,3.03
20210818:0610,15.34,46,30.45,19.11,3.17
20210818:0710,40.49,99,39.14,19.45,3.1
20210818:0810,66.44,151,46.43,19.16,3.17
20210818:0910,73.63,165,51.3,18.83,3.45
20210818:1010,124.34,265,52.67,18.51,3.86
20210818:1110,197.31,410,50.14,18.11,3.66
20210818:1210,140.82,297,44.41,17.98,3.59
20210818:1310,219.85,455,36.6,18.46,3.45
20210818:1410,95.09,208,27.64,19.08,3.24
20210818:1510,74.65,171,18.18,19.17,2.9
20210818:1610,28.53,83,8.68,19.01,2.48
20210818:1710,0,0,0,18.59,1.93
20210818:1810,0,0,0,17.99,1.66
20210818:1910,0,0,0,18.17,1.86
20210818:2010,0,0,0,17.8,2
20210818:2110,0,0,0,17.41,2.41
20210818:2210,0,0,0,17.02,2.97
20210818:2310,0,0,0,16.38,3.31
20210819:0010,0,0,0,16.05,3.24
20210819:0110,0,0,0,15.9,2.97
20210819:0210,0,0,0,15.74,2.48
20210819:0310,0,1,2.03,15.64,2.28
20210819:0410,1.7,12,11.35,15.65,2.14
20210819:0510,18.33,52,20.89,16.18,2.14
20210819:0610,64.05,145,30.24,16.72,2.07
20210819:0710,125.95,267,38.9,16.87,2.55
20210819:0810,187.83,392,46.16,17.63,2.48
20210819:0910,136.28,290,51,18.6,2.62
20210819:1010,330.34,693.01,52.34,19.44,2.55
20210819:1110,261.06,548,49.81,19.95,2.48
20210819:1210,210.97,444,44.1,20.7,2.83
20210819:1310,102.55,225,36.3,21.31,2.9
20210819:1410,114.65,250,27.35,21.37,2.9
20210819:1510,102.73,239,17.9,21.28,2.76
20210819:1610,28.93,88,8.39,20.82,2
20210819:1710,0,0,0,19.93,1.59
20210819:1810,0,0,0,18.67,1.66
20210819:1910,0,0,0,18.42,2
20210819:2010,0,0,0,18.05,2.07
20210819:2110,0,0,0,17.58,2.28
20210819:2210,0,0,0,17.27,2.55
20210819:2310,0,0,0,16.81,2.69
20210820:0010,0,0,0,16.41,2.55
20210820:0110,0,0,0,16.05,2.34
20210820:0210,0,0,0,15.79,2.41
20210820:0310,0,1,1.81,15.7,2.62
20210820:0410,35.14,91,11.14,16.17,2.62
20210820:0510,117.06,258,20.68,17.63,2.48
20210820:0610,195.94,412,30.02,19.36,2.97
20210820:0710,270.28,562.01,38.66,20.92,3.93
20210820:0810,304.27,635.01,45.89,22.16,4.41
20210820:0910,312.99,656.01,50.69,23.12,4.9
20210820:1010,336.17,706.01,52.01,23.63,5.03
20210820:1110,343.02,720.01,49.49,23.87,5.03
20210820:1210,285.22,599.01,43.78,24.11,4.97
20210820:1310,259.64,547.01,36,24.29,4.76
20210820:1410,186.28,402,27.06,24.2,4.62
20210820:1510,100.64,237,17.61,23.69,4.07
20210820:1610,27.54,86,8.1,22.78,3.79
20210820:1710,0,0,0,21.77,3.38
20210820:1810,0,0,0,20.75,3.03
20210820:1910,0,0,0,20.09,3.17
20210820:2010,0,0,0,19.42,2.9
20210820:2110,0,0,0,18.85,2.76
20210820:2210,0,0,0,18.26,2.76
20210820:2310,0,0,0,17.81,2.76
20210821:0010,0,0,0,17.35,2.69
20210821:0110,0,0,0,16.86,2.62
20210821:0210,0,0,0,16.52,2.55
20210821:0310,0,1,1.59,16.28,2.41
20210821:0410,44.27,117,10.93,16.51,2.34
20210821:0510,127.16,282,20.47,17.91,2.41
20210821:0610,212.92,449,29.8,19.65,2.62
20210821:0710,284.32,595.01,38.42,21.04,3.03
20210821:0810,324.97,683.01,45.62,22.35,3.52
20210821:0910,351.91,743.01,50.38,23.27,3.93
20210821:1010,358.79,760.01,51.68,23.7,3.93
20210821:1110,352.69,749.01,49.15,24.22,3.72
20210821:1210,306.3,651.01,43.46,24.7,3.45
20210821:1310,247.55,528,35.69,24.86,3.24
20210821:1410,177.86,388,26.77,24.8,3.1
20210821:1510,98.74,235,17.32,24.32,3.1
20210821:1610,19.73,60,7.81,23.11,3.03
20210821:1710,0,0,0,21.74,2.9
20210821:1810,0,0,0,20.71,2.83
20210821:1910,0,0,0,20.5,3.24
20210821:2010,0,0,0,19.87,3.03
20210821:2110,0,0,0,19.01,2.76
20210821:2210,0,0,0,18.29,2.76
20210821:2310,0,0,0,17.74,2.83
20210822:0010,0,0,0,17.2,2.76
20210822:0110,0,0,0,16.65,2.69
20210822:0210,0,0,0,16.13,2.48
20210822:0310,0,1,1.37,15.67,2.28
20210822:0410,40.38,106,10.72,15.73,2.07
20210822:0510,124.39,275,20.25,17.01,2.34
20210822:0610,216.21,454,29.57,18.35,2.41
20210822:0710,283.94,595.01,38.18,19.55,2.07
20210822:0810,327.48,692.01,45.34,20.7,2.14
20210822:0910,283.61,602,50.07,21.45,2.14
20210822:1010,205.67,439,51.35,21.9,2
20210822:1110,269.1,575,48.81,22.12,1.72
20210822:1210,232.23,497,43.14,22.37,1.45
20210822:1310,194,416,35.39,22.64,1.59
20210822:1410,155.48,339,26.47,22.61,1.66
20210822:1510,55.98,134,17.03,22.36,1.38
20210822:1610,24.97,81,7.51,21.85,0.9
20210822:1710,0,0,0,20.6,0.76
20210822:1810,0,0,0,20.45,0.34
20210822:1910,0,0,0,20.12,0.28
20210822:2010,0,0,0,19.36,0.34
20210822:2110,0,0,0,18.62,0.83
20210822:2210,0,0,0,17.7,0.97
20210822:2310,0,0,0,16.66,1.1
20210823:0010,0,0,0,16.01,1.1
20210823:0110,0,0,0,16.17,1.03
20210823:0210,0,0,0,16.2,0.97
20210823:0310,0,0,0,16.15,0.83
20210823:0410,24.37,66,10.5,16.18,0.69
20210823:0510,111.84,250,20.04,17.38,0.48
20210823:0610,197.96,424,29.35,19.47,0.69
20210823:0710,265.97,571.01,37.93,20.59,0.41
20210823:0810,291.61,631.01,45.06,21.96,0.62
20210823:0910,270.99,584,49.76,22.53,1.17
20210823:1010,302.63,655.01,51.01,22.96,1.24
20210823:1110,233.03,504,48.47,23.15,0.97
20210823:1210,198.66,430,42.81,23.48,0.97
20210823:1310,186.86,404,35.07,23.52,1.17
20210823:1410,65.69,153,26.17,23.48,1.24
20210823:1510,61.93,148,16.73,23.13,1.38
20210823:1610,22.95,76,7.21,22.36,1.38
20210823:1710,0,0,0,21.15,1.72
20210823:1810,0,0,0,19.99,1.72
20210823:1910,0,0,0,18.72,1.72
20210823:2010,0,0,0,17.42,1.66
20210823:2110,0,0,0,16.81,1.59
20210823:2210,0,0,0,16.05,1.59
20210823:2310,0,0,0,15.5,1.59
20210824:0010,0,0,0,15.19,1.59
20210824:0110,0,0,0,15.31,1.52
20210824:0210,0,0,0,14.73,1.59
20210824:0310,0,0,0,14.46,1.59
20210824:0410,27.23,73,10.29,14.88,1.38
20210824:0510,38.8,95,19.82,17.47,1.24
20210824:0610,155.57,333,29.12,19.78,1.45
20210824:0710,239.59,508,37.68,21.52,1.79
20210824:0810,310.27,663.01,44.78,23.34,2.14
20210824:0910,336.08,721.01,49.44,24.82,2.83
20210824:1010,332.42,712.01,50.66,25.75,3.59
20210824:1110,330.16,705.01,48.13,26.14,4
20210824:1210,293.31,625.01,42.48,26.36,4.14
20210824:1310,91.51,207,34.76,26.49,4.21
20210824:1410,100.55,226,25.86,26.17,3.93
20210824:1510,20.62,59,16.43,25.34,2.83
20210824:1610,7.37,28,6.91,23.73,2.14
20210824:1710,0,0,0,22.52,2.41
20210824:1810,0,0,0,21.9,2.69
20210824:1910,0,0,0,20.68,1.52
20210824:2010,0,0,0,19.84,1.79
20210824:2110,0,0,0,19.33,1.72
20210824:2210,0,0,0,18.92,1.31
20210824:2310,0,0,0,18.57,1.86
20210825:0010,0,0,0,17.69,1.86
20210825:0110,0,0,0,17.26,1.66
20210825:0210,0,0,0,16.53,1.66
20210825:0310,0,0,0,16.3,1.86
20210825:0410,2.02,13,10.07,16.38,1.86
20210825:0510,13.26,41,19.61,16.86,1.72
20210825:0610,85.52,188,28.9,17.27,1.86
20210825:0710,152.69,323,37.43,18.16,1.72
20210825:0810,87.7,194,44.5,19.62,2.48
20210825:0910,151.06,322,49.12,20.24,2.62
20210825:1010,220.73,467,50.32,20.93,2.34
20210825:1110,237.64,504,47.78,21.29,2
20210825:1210,154.92,333,42.14,21.84,1.93
20210825:1310,140.39,303,34.43,21.99,2.14
20210825:1410,164.41,357,25.55,21.91,2.48
20210825:1510,88.37,211,16.12,20.7,2.83
20210825:1610,19.08,64,6.6,20.32,2
20210825:1710,0,0,0,19.64,1.93
20210825:1810,0,0,0,18.78,2.28
20210825:1910,0,0,0,18.28,2.69
20210825:2010,0,0,0,17.61,2.62
20210825:2110,0,0,0,16.91,2.41
20210825:2210,0,0,0,16.23,2.41
20210825:2310,0,0,0,15.68,2.28
20210826:0010,0,0,0,15.36,2.14
20210826:0110,0,0,0,15,1.79
20210826:0210,0,0,0,14.62,1.66
20210826:0310,0,0,0,14.11,1.45
20210826:0410,1.1,10,9.85,14.14,1.45
20210826:0510,10.33,34,19.39,14.34,1.31
20210826:0610,29.45,75,28.67,14.89,1.38
20210826:0710,51.72,120,37.18,15.05,0.69
20210826:0810,73.22,163,44.21,15.4,0.41
20210826:0910,73.72,164,48.8,15.55,0.55
20210826:1010,71,159,49.97,16.18,0.62
20210826:1110,50.82,119,47.43,16.68,0.76
20210826:1210,50.72,119,41.8,17,0.62
20210826:1310,33.49,84,34.11,16.81,0.55
20210826:1410,16.4,48,25.24,16.82,0.41
20210826:1510,4.12,19,15.81,16.82,0.9
20210826:1610,0.06,6,6.29,16.64,1.17
20210826:1710,0,0,0,16.28,1.31
20210826:1810,0,0,0,16.12,1.31
20210826:1910,0,0,0,15.77,1.59
20210826:2010,0,0,0,15.53,1.79
20210826:2110,0,0,0,15.55,1.86
20210826:2210,0,0,0,15.47,1.93
20210826:2310,0,0,0,15.37,2
20210827:0010,0,0,0,15.23,2
20210827:0110,0,0,0,15.16,2
20210827:0210,0,0,0,14.62,2.07
20210827:0310,0,0,0,13.99,2.41
20210827:0410,13.93,42,9.64,13.89,2.55
20210827:0510,111.94,247,19.17,14.75,2.9
20210827:0610,194.05,403,28.43,15.79,2.9
20210827:0710,225.79,464,36.93,16.13,2.76
20210827:0810,287.59,596.01,43.92,17.55,2.34
20210827:0910,247.46,518,48.47,18.5,2
20210827:1010,208.43,441,49.62,19.35,1.45
20210827:1110,268.4,571,47.07,20,1.1
20210827:1210,247.37,526,41.46,20.48,1.1
20210827:1310,178.98,383,33.78,20.82,1.03
20210827:1410,135.47,297,24.92,21.03,0.83
20210827:1510,77.44,187,15.5,20.92,0.55
20210827:1610,17.16,63,5.98,20.21,0.97
20210827:1710,0,0,0,18.31,1.38
20210827:1810,0,0,0,16.44,1.86
20210827:1910,0,0,0,15.38,1.93
20210827:2010,0,0,0,14.51,1.93
20210827:2110,0,0,0,13.93,1.93
20210827:2210,0,0,0,13.74,2
20210827:2310,0,0,0,13.73,2.14
20210828:0010,0,0,0,13.67,2.14
20210828:0110,0,0,0,13.87,2.21
20210828:0210,0,0,0,14.43,2.62
20210828:0310,0,0,0,15.04,2.69
20210828:0410,1.09,10,9.42,15.52,2.9
